"MUSIC,What instrument has 88 keys?,Violin;Guitar;Piano*;Drums"
"MUSIC,Who is known as the King of Pop?,Elvis Presley;Michael Jackson*;Prince;Justin Bieber"
"MUSIC,What is the primary instrument in jazz music?,Piano;Guitar;Saxophone*;Drums"
"MUSIC,Which artist released the album 'To Pimp a Butterfly'?,Kanye West;J. Cole;Kendrick Lamar*;Drake"
"MUSIC,What genre of music is characterized by improvisation?,Classical;Jazz*;Rock;Pop"
"MUSIC,Who sang 'Rolling in the Deep'?,Beyonce;Rihanna;Adele*;Taylor Swift"
"MUSIC,What is the name of the musical symbol that represents silence?,Note;Rest*;Clef;Sharp"
"MUSIC,Which artist is famous for the song 'Rehab'?,Amy Winehouse*;Adele;Lana Del Rey;Sia"
"MUSIC,Who released the song 'Hotline Bling'?,Kanye West;Jay-Z;Drake*;Travis Scott"
"MUSIC,What genre is associated with artists like Erykah Badu and D'Angelo?,Hip-Hop;Country;Neo-Soul*;Reggae"
"MUSIC,How many beats are in a whole note?,1;2;4*;8"
"MUSIC,Which instrument is known as the 'king of instruments'?,Violin;Guitar;Piano;Organ*"
"MUSIC,Who is the lead vocalist of the rock band Queen?,Freddie Mercury*;Elton John;Mick Jagger;David Bowie"
"MUSIC,What is the highest female voice type?,Alto;Tenor;Soprano*;Bass"
"MUSIC,What is the name of the symbol that indicates the pitch of notes?,Rest;Clef*;Sharp;Flat"
"MUSIC,Which artist is known for the song 'Alright'?,Kanye West;Drake;Kendrick Lamar*;J. Cole"
"MUSIC,What type of musical instrument is a trumpet?,String;Percussion;Brass*;Woodwind"
"MUSIC,Who is famous for the lyric 'Dear Mama'?,Biggie Smalls;Eminem;Tupac*;Snoop Dogg"
"MUSIC,What genre does the band 'The Beatles' belong to?,Jazz;Classical;Rock*;Country"
"MUSIC,What is the term for the speed of music?,Pitch;Dynamics;Tempo*;Harmony"
"MUSIC,Who sang 'Back to Black'?,Lana Del Rey;Adele;Amy Winehouse*;Rihanna"
"MUSIC,What is the name of the musical scale with eight notes?,Pentatonic;Chromatic;Octave*;Whole Tone"
"MUSIC,Which artist released the album 'Take Care'?,Lil Wayne;Travis Scott;Drake*;Future"
"MUSIC,What is the term for a group of three or more notes played together?,Chord*;Scale;Interval;Arpeggio"
"MUSIC,Who is known as the Queen of Soul?,Aretha Franklin*;Whitney Houston;Mariah Carey;Beyonce"
"MUSIC,What is the primary instrument in classical Indian music?,Piano;Sitar*;Drums;Flute"
"MUSIC,Who sang the famous song 'Hallelujah'?,Leonard Cohen*;Bob Dylan;Bruce Springsteen;Tom Waits"
"MUSIC,What is the name of the musical notation that indicates loudness?,Pitch;Dynamics*;Tempo;Rhythm"
"MUSIC,Which artist is famous for the song 'Shape of You'?,Ed Sheeran*;Justin Timberlake;Shawn Mendes;Sam Smith"
"MUSIC,What genre of music is characterized by heavy use of electric guitars and drums?,Jazz;Rock*;Pop;Classical"
"MUSIC,Who sang 'I Will Always Love You'?,Whitney Houston*;Mariah Carey;Celine Dion;Madonna"
"MUSIC,What is the term for a repeated sequence of chords?,Riff;Solo;Loop*;Break"
"MUSIC,Which artist is famous for the lyric 'Started from the bottom now we're here'?,Kanye West;Drake*;J. Cole;Kendrick Lamar"
"MUSIC,What type of instrument is a cello?,Brass;Percussion;String*;Woodwind"
"MUSIC,Who released the album '25'?,Taylor Swift;Beyonce;Adele*;Katy Perry"
"MUSIC,What is the term for the combination of simultaneously sounded musical notes?,Melody;Harmony*;Rhythm;Tempo"
"MUSIC,Which artist is known for the song 'California Love'?,Biggie Smalls;Eminem;Tupac*;Snoop Dogg"
"MUSIC,What is the primary genre of the band 'Metallica'?,Jazz;Country;Heavy Metal*;Pop"
"MUSIC,Who sang 'Someone Like You'?,Beyonce;Rihanna;Adele*;Taylor Swift"
"MUSIC,What is the term for the distance between two pitches?,Chord;Scale;Interval*;Arpeggio"
"MUSIC,Which artist is famous for the song 'Rehab'?,Lana Del Rey;Adele;Amy Winehouse*;Sia"
"MUSIC,What genre is associated with artists like Erykah Badu and D'Angelo?,Hip-Hop;Country;Neo-Soul*;Reggae"
"MUSIC,Who is the lead vocalist of the rock band U2?,Freddie Mercury;Elton John;Bono*;Mick Jagger"
"MUSIC,What is the highest male voice type?,Alto;Tenor*;Soprano;Bass"
"MUSIC,What is the name of the symbol that indicates the pitch of notes?,Rest;Clef*;Sharp;Flat"
"MUSIC,Which artist is known for the song 'Alright'?,Kanye West;Drake;Kendrick Lamar*;J. Cole"
"MUSIC,What type of musical instrument is a trumpet?,String;Percussion;Brass*;Woodwind"
"MUSIC,Who is famous for the lyric 'Dear Mama'?,Biggie Smalls;Eminem;Tupac*;Snoop Dogg"
"MUSIC,What genre does the band 'The Beatles' belong to?,Jazz;Classical;Rock*;Country"
"MUSIC,What is the real name of Biggie Smalls?,Christopher Wallace*;Shawn Carter;Andre Young;Calvin Broadus"
